"","BPS_ID","EVT_ID","freq","acres","BPS_NAME","bps_acres","EVT_NAME","evt_acres"
"1",11,7292,1451251,322751,"BPS  Open Water",322750,"EVT  Open Water",322750
"2",31,9064,44,10,"BPS  Barren-Rock/Sand/Clay",12,"EVT  Central Interior Acidic Cliff and Talus",10
"3",31,9065,9,2,"BPS  Barren-Rock/Sand/Clay",12,"EVT  Central Interior Calcareous Cliff and Talus",2
"4",31,9101,1,0,"BPS  Barren-Rock/Sand/Clay",12,"EVT  Great Lakes Dune",0
"5",1561,7299,2,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  Developed-Roads",728924
"6",1561,7310,3,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Dry-Mesic Oak Forest and Woodland",2782040
"7",1561,7311,21,5,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Dry Oak Forest and Woodland",259395
"8",1561,7314,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Maple-Basswood Forest",494386
"9",1561,7395,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Oak Barrens Woodland",22708
"10",1561,7412,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Sand and Gravel Tallgrass Prairie",2099
"11",1561,7481,1,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",3265
"12",1561,7974,17,4,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  Eastern Cool Temperate Row Crop",6198921
"13",1561,7975,3,1,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  Eastern Cool Temperate Close Grown Crop",898359
"14",1561,7977,33,7,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  Eastern Cool Temperate Pasture and Hayland",2060384
"15",1561,9179,42,9,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Floodplain Forest",277980
"16",1561,9180,2,0,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Freshwater Marsh",48451
"17",1561,9183,32,7,"BPS  Laurentian-Acadian Northern Hardwoods Forest-Hemlock",64,"EVT  North-Central Interior Shrub Swamp",7263
