Past,EVT,ACRES
Past Grassland,Agricultural,2857357
Past Grassland,Conifer,11627
Past Grassland,Conifer-Hardwood,45940
Past Grassland,Developed,346199
Past Grassland,Exotics,95923
Past Grassland,Grassland,3862
Past Grassland,Hardwood,525088
Past Grassland,Riparian,27209
Past Hardwood,Agricultural,5641228
Past Hardwood,Conifer,53636
Past Hardwood,Conifer-Hardwood,211895
Past Hardwood,Developed,829748
Past Hardwood,Exotics,211958
Past Hardwood,Grassland,9316
Past Hardwood,Hardwood,2259598
Past Hardwood,Riparian,93230
Past Hardwood-Conifer,Agricultural,658943
Past Hardwood-Conifer,Conifer,35499
Past Hardwood-Conifer,Conifer-Hardwood,60578
Past Hardwood-Conifer,Developed,100567
Past Hardwood-Conifer,Exotics,34625
Past Hardwood-Conifer,Grassland,1671
Past Hardwood-Conifer,Hardwood,734158
Past Hardwood-Conifer,Riparian,23487
Past Riparian,Agricultural,428152
Past Riparian,Conifer,6393
Past Riparian,Conifer-Hardwood,16252
Past Riparian,Developed,55239
Past Riparian,Exotics,45915
Past Riparian,Grassland,4476
Past Riparian,Hardwood,193726
Past Riparian,Riparian,383352
Past Shrubland,Agricultural,67010
Past Shrubland,Conifer,19
Past Shrubland,Conifer-Hardwood,886
Past Shrubland,Developed,11287
Past Shrubland,Exotics,3323
Past Shrubland,Grassland,140
Past Shrubland,Hardwood,2953
Past Shrubland,Riparian,3810
