"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","13022_41_50_51_A","13022_41_50_51","A",2,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA
"2","13022_41_50_51_B","13022_41_50_51","B",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,2,1,13022,50,286,0
"3","13022_41_50_51_C","13022_41_50_51","C",14,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA
"4","13022_41_50_51_D","13022_41_50_51","D",76,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA
"5","13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,5,41,13022,50,286,14
"6","13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,5,58,13022,50,104,55
"7","13022_41_50_51_E","13022_41_50_51","E",4,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,5,2,13022,41,7,28
"8","13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,180,53,13022,50,286,18
"9","13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,180,8,13022,50,104,7
"10","13022_41_50_51_Agriculture","13022_41_50_51","Agriculture",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,180,3,13022,41,7,42
"11","13022_41_50_51_Developed","13022_41_50_51","Developed",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,120,2,13022,50,286,0
"12","13022_41_50_51_Developed","13022_41_50_51","Developed",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,120,1,13022,50,104,0
"13","13022_41_50_51_Water","13022_41_50_51","Water",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",NA,NA,NA,NA,NA,NA,NA
"14","13022_41_50_51_UN","13022_41_50_51","UN",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,6,70,13022,50,286,24
"15","13022_41_50_51_UN","13022_41_50_51","UN",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,6,22,13022,50,104,21
"16","13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,7,119,13022,50,286,41
"17","13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,7,15,13022,50,104,14
"18","13022_41_50_51_UE","13022_41_50_51","UE",0,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,7,2,13022,41,7,28
"19","13100_38_42_43_A","13100_38_42_43","A",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,1,28356,13100,42,12964176,0
"20","13100_38_42_43_B","13100_38_42_43","B",12,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2,199,13100,42,12964176,0
"21","13100_38_42_43_C","13100_38_42_43","C",20,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,3,537160,13100,42,12964176,4
"22","13100_38_42_43_D","13100_38_42_43","D",56,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,4,1525452,13100,42,12964176,11
"23","13100_38_42_43_E","13100_38_42_43","E",9,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,5,6792,13100,42,12964176,0
"24","13100_38_42_43_Agriculture","13100_38_42_43","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,180,9420193,13100,42,12964176,72
"25","13100_38_42_43_Developed","13100_38_42_43","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,120,999876,13100,42,12964176,7
"26","13100_38_42_43_Water","13100_38_42_43","Water",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"27","13100_38_42_43_UN","13100_38_42_43","UN",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,6,1493,13100,42,12964176,0
"28","13100_38_42_43_UE","13100_38_42_43","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,7,444655,13100,42,12964176,3
"29","13100_41_62_A","13100_41_62","A",5,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,1,435,13100,41,87768,0
"30","13100_41_62_B","13100_41_62","B",18,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"31","13100_41_62_C","13100_41_62","C",27,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,3,1923,13100,41,87768,2
"32","13100_41_62_D","13100_41_62","D",45,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,4,22186,13100,41,87768,25
"33","13100_41_62_E","13100_41_62","E",5,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,5,168,13100,41,87768,0
"34","13100_41_62_Agriculture","13100_41_62","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,180,46950,13100,41,87768,53
"35","13100_41_62_Developed","13100_41_62","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,120,11383,13100,41,87768,12
"36","13100_41_62_Water","13100_41_62","Water",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"37","13100_41_62_UN","13100_41_62","UN",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,6,45,13100,41,87768,0
"38","13100_41_62_UE","13100_41_62","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,7,4678,13100,41,87768,5
"39","13100_44_50_A","13100_44_50","A",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,1,878,13100,50,971494,0
"40","13100_44_50_B","13100_44_50","B",12,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,2,12,13100,50,971494,0
"41","13100_44_50_C","13100_44_50","C",20,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,3,51183,13100,50,971494,5
"42","13100_44_50_D","13100_44_50","D",57,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,4,365962,13100,50,971494,37
"43","13100_44_50_E","13100_44_50","E",8,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,5,6180,13100,50,971494,0
"44","13100_44_50_Agriculture","13100_44_50","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,180,426013,13100,50,971494,43
"45","13100_44_50_Developed","13100_44_50","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,120,67077,13100,50,971494,6
"46","13100_44_50_Water","13100_44_50","Water",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"47","13100_44_50_UN","13100_44_50","UN",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,6,519,13100,50,971494,0
"48","13100_44_50_UE","13100_44_50","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,7,53670,13100,50,971494,5
"49","13100_49_A","13100_49","A",5,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,1,547,13100,49,732120,0
"50","13100_49_B","13100_49","B",12,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"51","13100_49_C","13100_49","C",13,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,3,6858,13100,49,732120,0
"52","13100_49_D","13100_49","D",65,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,4,36092,13100,49,732120,4
"53","13100_49_E","13100_49","E",5,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,5,17,13100,49,732120,0
"54","13100_49_Agriculture","13100_49","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,180,584257,13100,49,732120,79
"55","13100_49_Developed","13100_49","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,120,83268,13100,49,732120,11
