"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1570,19800558,13940,50,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,4403538,26.8
"2",2117,12964176,13100,42,"13100_38_42_43","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",126,50,76,24,19,49,32,"I-C",176,163,222,0.690196078,0.639215686,0.870588235,2883163,17.6
"3",2125,8054452,14210,42,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,1791267,10.9
"4",1576,5793334,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,1288406,7.8
"5",1587,4922927,15170,50,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686275,0.458823529,0,1094833,6.7
"6",1566,2836375,13140,50,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,NA,857,467,46,NA,54,"V-A",237,161,102,0.929411765,0.631372549,0.4,630795,3.8
"7",2119,2555294,13140,42,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,NA,857,467,46,NA,54,"V-A",237,161,102,0.929411765,0.631372549,0.4,568284,3.5
"8",2127,1798583,14710,42,"14710_42_43","Central Interior and Appalachian Floodplain Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,0,191,176,0,0.749019608,0.690196078,399995,2.4
"9",2131,1618608,15170,42,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686275,0.458823529,0,359970,2.2
"10",11,1451251,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,322750,2
