"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,64,0,0.031104
"2","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,23,0,0.011178
"3","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,2,0,0.000972
"4","All Fire","13100_38_42_43",0.0408348,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2883163,17.6,117733.3844724
"5","All Fire","13100_41_62",0.0748626,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,19519,0.1,1461.2430894
"6","All Fire","13100_44_50",0.041736,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,216055,1.3,9017.27148
"7","All Fire","13100_49",0.0793404,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,162820,1,12918.203928
"8","All Fire","13110_42_43",0.1089432,"North-Central Interior Dry Oak Forest and Woodland",2118,39226,0.2,4273.4059632
"9","All Fire","13110_49",0.1068442,"North-Central Interior Dry Oak Forest and Woodland",2018,940,0,100.433548
"10","All Fire","13110_50",0.070731,"North-Central Interior Dry Oak Forest and Woodland",1564,17233,0.1,1218.907323
"11","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1566,630795,3.8,1376.520849
"12","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",2119,568284,3.5,1240.1093448
"13","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1591,11161,0.1,24.3555342
"14","All Fire","13140_49",0.002238,"North-Central Interior Maple-Basswood Forest",2020,2369,0,5.301822
"15","All Fire","13620_41_50",0.0899864,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,127841,0.8,11503.9513624
"16","All Fire","13620_41_50",0.0899864,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,62,0,5.5791568
"17","All Fire","13850_31_39_40_42",0.0308666,"Western Great Plains Wooded Draw and Ravine",2120,89426,0.5,2760.2765716
"18","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",1599,12921,0.1,2678.0633124
"19","All Fire","13940_42",0.2036366,"North-Central Interior Oak Savanna",2121,56421,0.3,11489.3806086
"20","All Fire","13940_50_51",0.2031226,"North-Central Interior Oak Savanna",1570,4403538,26.8,894458.0877588
"21","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",1600,433,0,87.2024762
"22","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",2122,4506,0,907.4696484
"23","All Fire","13950_50",0.2060566,"North-Central Oak Barrens",1571,281144,1.7,57931.5767504
"24","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1572,66821,0.4,15234.452969
"25","All Fire","14110_49_51_52",0.0410286,"Great Lakes Wet-Mesic Lakeplain Prairie",2027,1,0,0.0410286
"26","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,306100,1.9,89640.65036
"27","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",2123,127398,0.8,37308.1985448
"28","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,8984,0.1,2630.9428384
"29","All Fire","14120_49",0.2907254,"North-Central Interior Sand and Gravel Tallgrass Prairie",2028,428,0,124.4304712
"30","All Fire","14200_39_40_42",0.1749512,"Northern Tallgrass Prairie",2124,172429,1.1,30166.6604648
"31","All Fire","14200_41",0.281598,"Northern Tallgrass Prairie",1604,41848,0.3,11784.313104
"32","All Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",2125,1791267,10.9,505916.8533984
"33","All Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",1576,1288406,7.8,363891.2062912
"34","All Fire","14210_49_52",0.2820258,"Central Tallgrass Prairie",2029,175665,1.1,49542.062157
"35","All Fire","14690_38_42_49",0.0206142,"Eastern Great Plains Floodplain Systems",2126,254939,1.6,5255.3635338
"36","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1579,210874,1.3,3676.3351412
"37","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1606,1535,0,26.760883
"38","All Fire","14710_49_52",0.0171822,"Central Interior and Appalachian Floodplain Systems",2033,6768,0,116.2891296
"39","All Fire","14720_49",0.0059822,"Central Interior and Appalachian Riparian Systems",2034,34,0,0.2033948
"40","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1581,47930,0.3,462.131474
"41","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1608,17,0,0.1639106
"42","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1582,100484,0.6,97.5498672
"43","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",2128,16445,0.1,15.964806
"44","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1609,773,0,0.7504284
"45","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,5604,0,5.598396
"46","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,2,0,0.001998
"47","All Fire","14880_38_42_43",0.334843,"Eastern Great Plains Wet Meadow-Prairie-Marsh",2129,690,0,231.04167
"48","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,50209,0.3,2964.2489838
"49","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",2130,36174,0.2,2135.6478468
"50","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,1732,0,102.2541624
"51","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,10,0,0.564512
"52","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1587,1094833,6.7,91551.2492596
"53","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",2131,359970,2.2,30101.123364
"54","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",2035,1,0,0.0836212
"55","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,64,0,0.1143424
"56","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,23,0,0.0410918
"57","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,2,0,0.0035732
"58","All Transitions","13100_38_42_43",0.043113,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2117,2883163,17.6,124301.806419
"59","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,19519,0.1,2178.7810484
"60","All Transitions","13100_44_50",0.0440268,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,216055,1.3,9512.210274
"61","All Transitions","13100_49",0.1237678,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2017,162820,1,20151.873196
"62","All Transitions","13110_42_43",0.1198714,"North-Central Interior Dry Oak Forest and Woodland",2118,39226,0.2,4702.0755364
"63","All Transitions","13110_49",0.1154934,"North-Central Interior Dry Oak Forest and Woodland",2018,940,0,108.563796
"64","All Transitions","13110_50",0.0810696,"North-Central Interior Dry Oak Forest and Woodland",1564,17233,0.1,1397.0724168
"65","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1566,630795,3.8,89864.31729
"66","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",2119,568284,3.5,80958.875208
"67","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1591,11161,0.1,1590.018382
"68","All Transitions","13140_49",0.142673,"North-Central Interior Maple-Basswood Forest",2020,2369,0,337.992337
"69","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,127841,0.8,12014.7272938
"70","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,62,0,5.8268716
"71","All Transitions","13850_31_39_40_42",0.2885614,"Western Great Plains Wooded Draw and Ravine",2120,89426,0.5,25804.8917564
"72","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",1599,12921,0.1,2719.8472422
"73","All Transitions","13940_42",0.2067762,"North-Central Interior Oak Savanna",2121,56421,0.3,11666.5199802
"74","All Transitions","13940_50_51",0.209489,"North-Central Interior Oak Savanna",1570,4403538,26.8,922492.772082
"75","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",1600,433,0,103.1165252
"76","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",2122,4506,0,1073.0786664
"77","All Transitions","13950_50",0.2479092,"North-Central Oak Barrens",1571,281144,1.7,69698.1841248
